prompt_id,prompt_text,category,has_style,has_negative,group_id,group_order,length
G17_2,a shiny street with many people,Detailed,False,False,G17,2,3
G17_3,a elegant street,Stylistic,True,False,G17,3,3
G17_4,a street in watercolor style,ArtStyle,True,False,G17,4,5
G17_5,a blurry street,Negative,False,True,G17,5,3
G18_1,a building,Simple,False,False,G18,1,2
G18_2,a huge old building from 20th century,Detailed,False,False,G18,2,3
G18_3,a dreamy building,Stylistic,True,False,G18,3,3
G18_4,a building in cyberpunk style,ArtStyle,True,False,G18,4,5
G18_5,a grainy building,Negative,False,True,G18,5,3
G19_1,a sunset,Simple,False,False,G19,1,2
G19_2,a sleepy sunset,Detailed,False,False,G19,2,3
G19_3,a cinematic sunset,Stylistic,True,False,G19,3,3
G19_4,a sunset in watercolor style,ArtStyle,True,False,G19,4,5
G19_5,a blurry sunset,Negative,False,True,G19,5,3
G20_1,a alien,Simple,False,False,G20,1,2
G20_2,a tiny alien with a huge spacecraft,Detailed,False,False,G20,2,3
G20_3,a dreamy alien,Stylistic,True,False,G20,3,3
G20_4,a alien in watercolor style,ArtStyle,True,False,G20,4,5
G20_5,a melting realistic alien,Negative,False,True,G20,5,4
